Input,Output
I feel like I'm living in a constant state of exhaustion.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm tired of feeling like I'm just surviving each day.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm struggling to keep my eyes open during the day.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
"I've tried reading before bed, but it hasn't helped me sleep.",I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm worried about how this lack of sleep is affecting my ability to focus.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I feel like I'm in a never-ending cycle of sleeplessness.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm tired of feeling like I'm always on the verge of falling asleep.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm worried about the toll this lack of sleep is taking on my body.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm tired of feeling so irritable because of lack of sleep.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
"I've tried creating a relaxing bedtime routine, but it hasn't worked.",I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm struggling to find any relief from this lack of sleep.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm worried about the impact of sleep deprivation on my overall health.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I feel like I'm constantly running on empty.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm tired of feeling like I'm barely functioning.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm worried about the long-term effects of not getting enough sleep.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I feel like I'm living in a fog because of lack of sleep.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm tired of feeling like I'm missing out on life because of lack of sleep.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm worried about how this lack of sleep is affecting my productivity.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I feel like I'm at my breaking point because of this insomnia.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm tired of feeling so drained all the time.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm worried about the toll this lack of sleep is taking on my immune system.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I feel like I'm just going through the motions because of lack of sleep.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
I'm tired of feeling like I'm constantly in a state of exhaustion.,I'm sorry to hear that. Have you tried any relaxation techniques before bed?
